"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"población"
"1";1;"Tarapacá";11;"Iquique";1101;"Iquique";231962
"2";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";143294
"3";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";18713
"4";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";1374
"5";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";1558
"6";1;"Tarapacá";14;"Tamarugal";1404;"Huara";3095
"7";1;"Tarapacá";14;"Tamarugal";1405;"Pica";6291
"8";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";444276
"9";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";15877
"10";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";1800
"11";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";13967
"12";2;"Antofagasta";22;"El Loa";2201;"Calama";196152
"13";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";269
"14";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";11030
"15";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";28354
"16";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";6507
"17";3;"Atacama";31;"Copiapó";3101;"Copiapó";176100
"18";3;"Atacama";31;"Copiapó";3102;"Caldera";19964
"19";3;"Atacama";31;"Copiapó";3103;"Tierra Amarilla";14431
"20";3;"Atacama";32;"Chañaral";3201;"Chañaral";13017
"21";3;"Atacama";32;"Chañaral";3202;"Diego de Almagro";13909
"22";3;"Atacama";33;"Huasco";3301;"Vallenar";57360
"23";3;"Atacama";33;"Huasco";3302;"Alto del Carmen";5781
"24";3;"Atacama";33;"Huasco";3303;"Freirina";7840
"25";3;"Atacama";33;"Huasco";3304;"Huasco";11590
"26";4;"Coquimbo";41;"Elqui";4101;"La Serena";267400
"27";4;"Coquimbo";41;"Elqui";4102;"Coquimbo";275644
"28";4;"Coquimbo";41;"Elqui";4103;"Andacollo";11836
"29";4;"Coquimbo";41;"Elqui";4104;"La Higuera";4533
"30";4;"Coquimbo";41;"Elqui";4105;"Paiguano";4709
"31";4;"Coquimbo";41;"Elqui";4106;"Vicuña";30541
"32";4;"Coquimbo";42;"Choapa";4201;"Illapel";33021
"33";4;"Coquimbo";42;"Choapa";4202;"Canela";9509
"34";4;"Coquimbo";42;"Choapa";4203;"Los Vilos";24408
"35";4;"Coquimbo";42;"Choapa";4204;"Salamanca";29916
"36";4;"Coquimbo";43;"Limarí";4301;"Ovalle";124401
"37";4;"Coquimbo";43;"Limarí";4302;"Combarbalá";13855
"38";4;"Coquimbo";43;"Limarí";4303;"Monte Patria";32672
"39";4;"Coquimbo";43;"Limarí";4304;"Punitaqui";12514
"40";4;"Coquimbo";43;"Limarí";4305;"Río Hurtado";4308
"41";5;"Valparaíso";51;"Valparaíso";5101;"Valparaíso";320816
"42";5;"Valparaíso";51;"Valparaíso";5102;"Casablanca";30543
"43";5;"Valparaíso";51;"Valparaíso";5103;"Concón";48171
"44";5;"Valparaíso";51;"Valparaíso";5104;"Juan Fernández";1104
"45";5;"Valparaíso";51;"Valparaíso";5105;"Puchuncaví";21221
"46";5;"Valparaíso";51;"Valparaíso";5107;"Quintero";38613
"47";5;"Valparaíso";51;"Valparaíso";5109;"Viña del Mar";371490
"48";5;"Valparaíso";52;"Isla de Pascua";5201;"Isla de Pascua";8872
"49";5;"Valparaíso";53;"Los Andes";5301;"Los Andes";68939
"50";5;"Valparaíso";53;"Los Andes";5302;"Calle Larga";17673
"51";5;"Valparaíso";53;"Los Andes";5303;"Rinconada";12030
"52";5;"Valparaíso";53;"Los Andes";5304;"San Esteban";21756
"53";5;"Valparaíso";54;"Petorca";5401;"La Ligua";38387
"54";5;"Valparaíso";54;"Petorca";5402;"Cabildo";20757
"55";5;"Valparaíso";54;"Petorca";5403;"Papudo";6438
"56";5;"Valparaíso";54;"Petorca";5404;"Petorca";10633
"57";5;"Valparaíso";54;"Petorca";5405;"Zapallar";8368
"58";5;"Valparaíso";55;"Quillota";5501;"Quillota";100972
"59";5;"Valparaíso";55;"Quillota";5502;"Calera";53902
"60";5;"Valparaíso";55;"Quillota";5503;"Hijuelas";19464
"61";5;"Valparaíso";55;"Quillota";5504;"La Cruz";27898
"62";5;"Valparaíso";55;"Quillota";5506;"Nogales";23645
