"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"mayor";"otros";"menores_porcentaje"
"1";1;"Tarapacá";11;"Iquique";1101;"Iquique";2002;16085;157526;0,10211012785191
"2";1;"Tarapacá";11;"Iquique";1101;"Iquique";2003;16204;152798;0,106048508488331
"3";1;"Tarapacá";11;"Iquique";1101;"Iquique";2004;16473;150940;0,109136080561813
"4";1;"Tarapacá";11;"Iquique";1101;"Iquique";2005;16897;150887;0,111984465195809
"5";1;"Tarapacá";11;"Iquique";1101;"Iquique";2006;17432;151945;0,114725723123499
"6";1;"Tarapacá";11;"Iquique";1101;"Iquique";2007;18076;153633;0,11765701379261
"7";1;"Tarapacá";11;"Iquique";1101;"Iquique";2008;18808;155710;0,120788645559052
"8";1;"Tarapacá";11;"Iquique";1101;"Iquique";2009;19592;157934;0,124051819114314
"9";1;"Tarapacá";11;"Iquique";1101;"Iquique";2010;20458;160098;0,127784232157803
"10";1;"Tarapacá";11;"Iquique";1101;"Iquique";2011;21428;162503;0,131862181005889
"11";1;"Tarapacá";11;"Iquique";1101;"Iquique";2012;22491;164875;0,136412433661865
"12";1;"Tarapacá";11;"Iquique";1101;"Iquique";2013;23618;166819;0,141578597162194
"13";1;"Tarapacá";11;"Iquique";1101;"Iquique";2014;24836;168807;0,147126600200229
"14";1;"Tarapacá";11;"Iquique";1101;"Iquique";2015;26125;170603;0,153133297773193
"15";1;"Tarapacá";11;"Iquique";1101;"Iquique";2016;27410;172182;0,159192017748661
"16";1;"Tarapacá";11;"Iquique";1101;"Iquique";2017;28690;174201;0,164694806574015
"17";1;"Tarapacá";11;"Iquique";1101;"Iquique";2018;30071;179338;0,167677792771192
"18";1;"Tarapacá";11;"Iquique";1101;"Iquique";2019;31317;185197;0,169101011355476
"19";1;"Tarapacá";11;"Iquique";1101;"Iquique";2020;32582;190881;0,170692735264379
"20";1;"Tarapacá";11;"Iquique";1101;"Iquique";2021;33845;193282;0,175106838712348
