"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"mayor";"menor";"menores_porcentaje"
"1";1;"Tarapacá";11;"Iquique";1101;"Iquique";2002;120971;52640;0,435145613411479
"2";1;"Tarapacá";11;"Iquique";1101;"Iquique";2003;118637;50365;0,42453028987584
"3";1;"Tarapacá";11;"Iquique";1101;"Iquique";2004;118133;49280;0,417156933287058
"4";1;"Tarapacá";11;"Iquique";1101;"Iquique";2005;118947;48837;0,41057782037378
"5";1;"Tarapacá";11;"Iquique";1101;"Iquique";2006;120695;48682;0,403347280334728
"6";1;"Tarapacá";11;"Iquique";1101;"Iquique";2007;123058;48651;0,395350160087113
"7";1;"Tarapacá";11;"Iquique";1101;"Iquique";2008;125765;48753;0,387651572377052
"8";1;"Tarapacá";11;"Iquique";1101;"Iquique";2009;128569;48957;0,380783859250675
"9";1;"Tarapacá";11;"Iquique";1101;"Iquique";2010;131372;49184;0,374387236245166
"10";1;"Tarapacá";11;"Iquique";1101;"Iquique";2011;134422;49509;0,368310246834596
"11";1;"Tarapacá";11;"Iquique";1101;"Iquique";2012;137575;49791;0,361918953298201
"12";1;"Tarapacá";11;"Iquique";1101;"Iquique";2013;140541;49896;0,35502807010054
"13";1;"Tarapacá";11;"Iquique";1101;"Iquique";2014;143624;50019;0,348263521417033
"14";1;"Tarapacá";11;"Iquique";1101;"Iquique";2015;146557;50171;0,34233097020272
"15";1;"Tarapacá";11;"Iquique";1101;"Iquique";2016;149339;50253;0,336502855918414
"16";1;"Tarapacá";11;"Iquique";1101;"Iquique";2017;152629;50262;0,329308322795799
"17";1;"Tarapacá";11;"Iquique";1101;"Iquique";2018;158569;50840;0,320617522971073
"18";1;"Tarapacá";11;"Iquique";1101;"Iquique";2019;164666;51848;0,314867671529035
"19";1;"Tarapacá";11;"Iquique";1101;"Iquique";2020;170552;52911;0,310233828978845
"20";1;"Tarapacá";11;"Iquique";1101;"Iquique";2021;173861;53266;0,306371181576087
"21";1;"Tarapacá";11;"Iquique";1101;"Iquique";2022;175877;53195;0,302455693467594
"22";1;"Tarapacá";11;"Iquique";1101;"Iquique";2023;177543;53052;0,29881211875433
"23";1;"Tarapacá";11;"Iquique";1101;"Iquique";2024;179069;52893;0,295377759411177
"24";1;"Tarapacá";11;"Iquique";1101;"Iquique";2025;180590;52638;0,29147793344039
"25";1;"Tarapacá";11;"Iquique";1101;"Iquique";2026;182138;52269;0,286974711482502
"26";1;"Tarapacá";11;"Iquique";1101;"Iquique";2027;183754;51738;0,281561217714989
"27";1;"Tarapacá";11;"Iquique";1101;"Iquique";2028;185348;51133;0,275875650128407
"28";1;"Tarapacá";11;"Iquique";1101;"Iquique";2029;186891;50488;0,270146770042431
"29";1;"Tarapacá";11;"Iquique";1101;"Iquique";2030;188329;49844;0,264664496705234
"30";1;"Tarapacá";11;"Iquique";1101;"Iquique";2031;189671;49231;0,259559974903913
"31";1;"Tarapacá";11;"Iquique";1101;"Iquique";2032;190934;48606;0,254569641865776
